title,content,writer,time
그룹사 직무교육 정보교류회 개최…노하우 교류의 장 마련(15),"- 기계, 전기, 이차전지소재 등 교육과정 소개하고 벤치마킹 기회 제공
포스코인재창조원이 3월 6일 포항 캠퍼스에서 그룹사 직무교육 정보교류회를 개최했다.
▲김경철 포스코인재창조원 혁신기술센터장이 직무교육 정보교류회 참석자들에게 환영인사를 전하고 있다.

이날 자리에는 포스코이앤씨, 포스코퓨처엠, 포스코DX, 포스코실리콘솔루션, 부산E&E, 포스코PH솔루션 등 12개 그룹사 설비 담당 직책자 및 실무자와 기술교육 담당자 20여 명이 참석했다.
포스코인재창조원은 올해 기술교육 과정을 소개하고, 지난 교육성과를 공유함으로써 그룹사 교육담당자들이 서로를 벤치마킹할 수 있도록 이번 자리를 마련했다. 참석자들은 여러 담당자들과 교류하며, 교육 경쟁력을 높일 노하우를 전수받고 여건을 개선할 여러 아이디어를 제출했다.
▲정보교류회 참석자들이 압연제어실 실습장(왼쪽)과 유공압회로실 실습장(오른쪽)을 둘러보는 모습.

포스코인재창조원은 참석자들에게 기술 실습장과 연계된 실습형 교육 프로그램들도 안내했다. 포항 캠퍼스에는 금속, 기계, 전기제어 등 교육용 실습장비 총 171종을 구비하고 있다.
포스코PH솔루션 정상진 리더는 “교류회에 참석하면서 기계, 전기, 이차전지소재 등 다양한 직무교육을 확인할 수 있어 인상 깊었다. 포스코인재창조원이 가진 교육 인프라를 잘 활용하면 직원들의 설비 이해를 효과적으로 높일 수 있을 것으로 생각한다.""라고 말했다.
한편, 포스코인재창조원은 사업회사 여건과 눈높이에 맞춘 직무교육 프로그램을 운영하고자 그룹사와 소통의 장을 지속 마련할 계획이다.양으뜸 커뮤니케이터",양으뜸 커뮤니케이터,2025.03.19 08:30:00
부장·그룹장 WX워크숍 교육 오픈... 디지털 기술로 일하는 방식 바꾼다(12),"- AI·DX시대에 필요한 직책자 리더십 강화하는 실무 연계형 디지털 교육

- 2월 19일부터 부장·그룹장 780명 순차 입과... 포항·광양·송도에서 총 32차수 운영

포스코인재창조원이 지난해 포스코그룹 임원 대상으로 오픈한 WX*워크숍 교육을 올해 부장·그룹장 대상으로 확대 운영한다.* WX(Workway Transformation) : 디지털 기술을 활용한 일하는 방식의 혁신.
올해 WX워크숍 교육에는 부장·그룹장 780명이 순차적으로 입과해 하루 8시간 과정으로 디지털 기술을 실무에 접목하는 다양한 방안을 다루는 프로그램을 수강한다. 올해 교육은 2월 19일 첫 시작해 오는 5월 12일까지 포항, 광양, 송도에서 총 32차수에 걸쳐 열린다.
▲포스코인재창조원이 지난해 포스코그룹 임원 대상으로 오픈한 WX워크숍 교육을 올해 부장·그룹장 대상으로 확대했다. 사진은 2월 27일 열린 포스코인재창조원 송도캠퍼스에서 열린 WX워크숍에서 교육생들이 AI 디바이스를 체험하는 모습.

포스코인재창조원은 AI, 로봇 등 기술혁신이 가속화되는 환경에서 부장·그룹장들이 디지털 시대에 필요한 리더십을 내재화하고 부서별로 일하는 방식의 변화를 이끌어 낼 수 있도록 이번 교육을 마련했다. 특히, 포스코인재창조원은 교육생들이 디지털 기술의 효과를 직접 체험하고 실질적인 활용법을 익힐 수 있는 학습 방식으로 설계했다.

이번 WX워크숍 교육생들은 오전 첫 일정으로 △포스코그룹 DX 추진 현황 △AI 트렌드와 직책자의 역할을 주제로 한 전문가 특강을 듣는다. 이어, 감마(Gamma, PPT 생성 AI), 이디오그램(Ideogram, 이미지 생성 AI) 등 다양한 AI 프로그램을 실습하는 등 최신 기술을 직접 경험한다. 오후에는 챗GPT를 활용해 △전략과제 도출 △조직관리 △자료수집과 분석 등 현업 적용 방안을 논의하고, 부장·그룹장이 부서별로 주도적으로 디지털 기술을 도입하는 아이디어에 대해 토론하는 시간도 갖는다.
▲포스코인재창조원 WX워크숍에 입과한 교육생들이 생성형 AI 사용법을 익히고 있다.

이번 교육에 참여한 한 부장은 “이제 AI가 단순한 트렌드가 아니라 기업의 생존과 경쟁력을 결정짓는 핵심 요소라는 점을 실감했다. WX워크숍은 실무와 연계성이 뛰어나 현실적인 인사이트를 얻을 수 있었고, 실제 업무에 적용할 수 있는 구체적인 방향까지 제시해줘 몰입도가 높았다. 앞으로 AI를 어떻게 부서 업무에 적용할 수 있을지 고민해보는 좋은 기회였다”고 말했다.
한편, 포스코인재창조원은 AI 교육의 중요성이 커짐에 따라 부장·그룹장 WX워크숍이 종료되는 시점인 올해 하반기에 맞춰 교육 대상자를 리더까지 확대하는 방안을 검토하고 있다. 이와 함께, △AI 기본개념을 익히는 'AI리터러시 이러닝' △AI를 사무업무에 적용하는 'WX기초과정' △디지털 기술을 직무별로 특화해 알려주는 '직무전문WX스쿨' 등 일반 직원들의 디지털 역량을 강화하는 교육과정도 운영하고 있다.

포스코인재창조원은 앞으로도 포스코그룹 전반의 AI 리터러시를 높이는 교육과정을 지속 마련해 직원들의 실질적인 업무혁신을 이끌어나갈 계획이다.양으뜸 커뮤니케이터",양으뜸 커뮤니케이터,2025.03.05 13:00:00
언제 어디서나 볼 수 있는 '세잎클로버 안전보건 카드뉴스 컬렉션' 책자 발간(12),"- 안전보건 지식과 정보를 쉽고 재미있게 전달... 카드뉴스와 안전 영상으로 자가학습용 교재 구성

포스코인재창조원이 현장에서 안전보건 가이드북으로 활용할 수 있는 ‘세잎클로버(Safe Clover) 안전보건 카드뉴스 컬렉션' 책자를 발간했다.
포스코인재창조원은 현장 직원들의 안전의식을 높이고 언제 어디서나 간편하게 책자를 볼 수 있도록 다양한 주제와 새로운 형식을 도입했다.
▲포스코인재창조원이 현장에서 안전보건 가이드북으로 활용할 수 있도록 발간한 세잎클로버 안전보건 카드뉴스 컬렉션 책자.

포스코인재창조원은 이번 컬렉션 북에 지난 2021년부터 4년간 발행한 모든 안전보건 카드뉴스를 선별, △안전문화 구축 △알기 쉬운 안전 제도 △재해 발생 형태 △중량물 취급 운반 △건강한 생활 5가지 분야 24개 테마로 종합해 담아냈다. 특히, 공정안전관리, 유해·위험기계기구, 위험성평가, TBM 등 현장 실무에 필요한 내용들을 수록해 직원들에게 실질적인 도움을 줄 수 있도록 했다.
또한, 포스코 러닝플랫폼에 올라간 안전 UCC에 접속할 수 있는 QR코드를 넣어 독자들이 카드뉴스 주제에 맞는 안전 영상을 함께 볼 수 있도록 했다.
▲포스코그룹 러닝플랫폼에 오픈한 세잎클로버 안전보건 카드뉴스 컬렉션 이북(e-Book) 모습.

포스코인재창조원 관계자는 “이번에 발간한 세잎클로버 컬렉션 북은 안전하고 행복한 일터 구현을 향한 우리들의 약속을 담고 있다. 무엇보다 안전보건 지식, 정보 전달에 그치지 않고 실제 현업에서 쉽게 실천할 수 있는 안전활동을 공유하는 데 중점을 뒀다. 많은 직원들이 자기주도 학습에 활용할 수 있도록 러닝플랫폼 이북(e-Book) 형태로 제공하고 있으니 많은 관심을 가져주시길 바란다""고 말했다.
포스코인재창조원은 앞으로도
포스코그룹 전 구성원의 안전 마인드 제고와 안전 최우선 문화를 선도하는 다양한 교육 프로그램을 개발해 안전한 현장을 만들어나갈 계획이다.양으뜸 커뮤니케이터",양으뜸 커뮤니케이터,2025.02.27 10:50:00
신입사원 직무특화교육으로 맞춤형 직무역량 쑥쑥!(20),"포스코인재창조원이 2월 10일 포스코 신입사원 84명을 대상으로 '생산기술직 신입사원 직무특화교육'에 들어갔다.


지난해 8월 신규 오픈한 직무특화교육은 포스코 신입사원들이 제철소 배치 전에 필요한 기본적인 운전, 정비 직무역량을 높일 수 있도록 설계됐다. 포스코인재창조원은 신입사원들의 전공, 지원부서 등 다양한 배경을 고려해 이론과 실습을 병행하는 맞춤형 직무교육 프로그램을 마련했다.
▲포스코인재창조원이 2월 10일 포스코 신입사원 84명을 대상으로 '생산기술직 신입사원 직무특화교육'에 들어갔다. 사진은 신입사원들이 입과식에서 앞으로 교육에 임하는 각오를 다 함께 다짐하고 있는 모습.

직무특화교육에서 운전 직무는 5주간 △제선 △제강 △열연 △냉연 4개 분반으로, 정비 직무는 9주간 △기계 △전기 2개 분반으로 나눠 운영된다. 이를 통해 신입사원들은 각 직무에 필요한 전문 지식을 체계적으로 습득하고 현장의 실제 사례 위주의 실습 프로그램에 참여해 현장 역량을 높인다.
이날 교육과정에 입과한 한 신입사원은 ""이번 직무특화교육은 이론과 실무를 동시에 익힐 수 있어, 나중에 제철소 현업부서에 배치받아 첫 출근할 때 자신감이 생길 것 같다. 동기들과 안전하게 이번 교육을 수료해 현장에 강한 신입사원이 되고 싶다"" 말했다.
포스코인재창조원은 올해 포항과 광양에서 총 800명의 신입사원을 대상으로 4차수에 걸쳐 직무특화교육을 운영할 예정이다. 앞으로도 신입사원들이 현장에 빠르게 적응할 수 있도록 다양한 교육 프로그램을 개발해 포스코그룹의 미래를 이끌어갈 인재들을 양성하는 데 주력할 계획이다.양으뜸 커뮤니케이터",양으뜸 커뮤니케이터,2025.02.12 16:57:19
그룹 안전보건교육 정보교류회 개최... 함께 배우고 토론하는 발전의 장(9),"포스코인재창조원이 1월 23일 포스코국제관에서 2025 포스코그룹 안전보건교육 정보교류회를 열었다.

이날 회의에는 포스코, 포스코이앤씨, 포스코퓨처엠, 포스코DX 등 17개사 안전보건교육 부서장, 담당자 35명이 참석해 각 그룹사별 안전보건교육 운영 현황과 올해 중점추진 프로그램을 공유했다. 또한, △지난해 관리감독자 법정 안전보건교육 성과 △그룹사별 니즈를 반영한 올해 안전보건교육 내실화 방안 △ 맞춤형 컨설팅을 통한 안전보건관리체계 고도화 방안 등을 발표하고 토론하는 시간을 가졌다.
▲1월 23일 포스코국제관에서 열린 2025 포스코그룹 안전보건교육 정보교류회에서 김경철 포스코인재창조원 혁신기술센터장이 당부사항을 전달하고 있다.

포스코인재창조원은 이날 '안전심리 이해를 통한 세대간 안전공감과 효과적 의사소통 방법' 주제로 사외 전문가 특강을 열어 안전교육의 학습효과를 높이는 노하우를 공유하기도 했다.
이날 교육에 참석한 한 안전보건 담당자는 “오늘 체계적이고 실효성 높은 안전교육이 작업자들의 안전의식 제고와 체질화에 중요하다는 것을 배웠다. 각 그룹사별로 서로 벤치마킹할 수 있는 안전교육 성과를 듣고 애로사항을 이야기하며 해결방안을 함께 고민하는 등 뜻 깊은 시간을 보냈다”고 말했다.
포스코인재창조원은 앞으로도 그룹사 안전보건교육 담당자들의 목소리에 더욱 귀 기울여 사업 특성을 반영한 맞춤형 안전보건교육, 내실 있는 교육 컨설팅 활동을 펼쳐 포스코그룹 안전일터 구현에 기여할 예정이다.양으뜸 커뮤니케이터",양으뜸 커뮤니케이터,2025.02.05 11:34:37
해외 직원과 공감대 잇는 글로벌 P.A.L. 교육 마무리(2),"- 올해 14개국 30여 개 해외법인 모범사원 96명 교육 참가
포스코인재창조원이 2024년 포스코그룹 글로벌 P.A.L. 교육을 마무리 지었다.
▲글로벌 P.A.L. 교육생들이 Park1538 홍보관에서 기념사진을 찍고 있다.

'글로벌 P.A.L.'은 포스코그룹의 해외법인 현지 우수인재를 대상으로 자부심(Pride), 감사함(Appreciation), 애사심(Loyatly)를 향상시키기는 교육 프로그램이다. 포스코인재창조원은 지난해 11월부터 프로그램을 열어 현지 모범직원들이 포스코그룹의 사업 이해와 소속감을 높일 수 있도록 돕고 있다.
올해 네 차례 열린 프로그램에는 인도, 베트남, 튀르키예 등 14개 국가에서 온 96명의 직원들이 참여했다.
교육생들은 한국에서 5일 동안 포스코그룹의 경영비전을 학습하고 주요 사업장들을 견학하는 등 사업 이해도를 높였다. 대표적으로 포항제철소, Park1538, 포스코센터, 포스코인터내서널 송도사옥 등을 둘러봤다.

또한, 교육생들은 K팝으로 한국어를 배우고 한복을 착용해 보는 등 한국의 대표문화를 체험하는 시간을 가졌다.
▲글로벌 P.A.L. 교육생들이 포스코센터에서 기념사진을 찍고 있다.

이후 각 해외법인으로 돌아간 교육생들은 프로그램에서 배운 내용을 동료들과 공유해 현지에서 긍정적인 영향력을 발휘하고 있다. 예를 들어, 포스코-아르헨티나의 베네데티 루치아노(Benedetti Luciano) 리더는 챗지피티(ChatGPT) 작동 방식과 사무업무 활용방안을 배워 현지 직원들에게 교육했다.
포스코 멕시코 가공센터인 포스코-MPPC의 알론소 사원은 ""교육 프로그램에 참여하면서 나도 포스코그룹 일원이라는 마인드가 잡혔다. 동료들이 나와 같은 마음을 가질 수 있도록 프로그램 내용을 알려주겠다.""고 말했다.
한편, 포스코인재창조원은 교육생들이 이차전지소재사업에 대한 이해도 함께 높일 수 있도록 내년도 교육 프로그램에 포스코퓨처엠 사업장 견학 과정을 추가할 계획이다. 또 교육생들의 건의사항을 청취해 맞춤형 교육과정을 운영할 수 있도록 보완에 나선다.강우택 커뮤니케이터",강우택 커뮤니케이터,2024.11.19 09:30:00
이차전지소재 아카데미 열어… 기초부터 실무까지 직무역량 '쑥쑥'(10),"- 10월 28일부터 12월 4일까지… 이차전지소재 사업회사 8개사 직원 141명 참여
- 공정·기계·전기 직무별로 현업에서 바로 적용할 수 있는 실무형 솔루션 교육으로 편성
포스코인재창조원이 그룹 이차전지소재 밸류체인의 인적 경쟁력을 높이고자 맞춤형 직무역량 교육과정 '이차전지소재 아카데미'를 열었다.
신입사원 대상 기초과정부터 일반 직원 대상 공정·기계·전기 직무별 심화과정까지 4개 과정으로 구성된 이번 교육은 10월 28일 시작해 오는 12월 4일 마칠 예정이다. 포스코인재창조원은 올해 8월 RIST와 협업해 품질직무 심화과정인 화학분석스쿨을 열어 직원들의 호평을 얻은 바 있다.
이번 교육에는 △포스코퓨처엠 △포스코리튬솔루션 △SNNC △포스코실리콘솔루션 △포스코CNGR니켈솔루션 △포스코HY클린메탈 △포스코필바라리튬솔루션 △포스코MC머티리얼즈 등 8개사 직원 총 141명이 참여했다.
▲포스코인재창조원이 맞춤형 직무역량 교육과정 '이차전지소재 아카데미'를 열었다. 직무별 심화과정 교육생이 사외 전문가에게 이론 강의를 듣고 현업 적용방안에 대해 코칭 받고 있는 모습.

포스코인재창조원은 이번 교육의 신입사원 기초과정을 종합 도입교육 컨셉으로 구성해 포스코그룹 신입사원이라면 알아야 할 기본 소양을 폭 넓게 배울 수 있도록 했다. 또한 현장에 이미 배치된 신입사원들이 업무와 교육을 병행할 수 있도록 웨비나 형식을 도입하는 등 교육생들의 편의를 높였다.
각 직무별 심화과정은 이차전지소재사 직책자 사전 인터뷰를 통해 현장에서 꼭 알아야 할 실무 중심 커리큘럼으로 꾸렸다. 특히, △압축형 핵심 교육 콘텐츠 편성 △현장 실습 중심 맞춤형 실무교육 △교육생 쌍방향 토론 확대 등으로 직원들이 과정을 마친 뒤 현업에서 교육내용을 바로 적용할 수 있도록 했다.
▲포스코인재창조원 이차전지소재 아카데미 교육생들이 기계직무 심화과정 수업에서 자분탐상 설비진단 방법을 실습하고 있다.

공정직무 심화과정을 수강한 포스코실리콘솔루션 최선호 프로는 “공정관리자에게 반드시 필요한 직무지식과 소양을 배울 수 있는 알찬 교육이었다. 앞으로도 많은 그룹사 직원들이 참여해 이차전지소재사업 관련 정보와 직무 노하우를 나누는 장이 되면 좋겠다“고 말했다.
포스코인재창조원은 앞으로도 사업회사별 니즈에 맞춘 다양한 맞춤형 교육과 DX기반 문제해결 전문가 과정도 새롭게 론칭할 예정이다. 이를 위해, 러닝플랫폼에 이러닝, 이북(e-book), 숏폼 등 자기주도학습 컨텐츠를 확대하고, 현업 지식과 문제해결 솔루션을 공유하는 러닝 크루(Learning Crew)를 선보이는 등 사업회사 경쟁력을 높이는 전문인력을
 지속 육성해 나갈 계획이다.강우택 커뮤니케이터",강우택 커뮤니케이터,2024.11.15 17:12:43
포스코그룹 QSS 컨퍼런스 개최… 기술 혁신의 장(3),"- 10월 29일부터 이틀간 개최…그룹사 QSS 지원전략 벤치마킹으로 시너지 효과 기대
포스코인재창조원이 10월 29일부터 이틀간 송도캠퍼스에서 '포스코그룹 QSS 컨퍼런스'를 개최했다.
이날 행사에는 포스코, 포스코인터내셔널, 포스코퓨처엠, 포스코엠텍 등 19개 그룹사 QSS 담당자 78명이 참석했다.
▲포스코인재창조원이 10월 29일부터 이틀간 송도캠퍼스에서 '포스코그룹 QSS 컨퍼런스'를 개최했다.

포스코인재창조원은 그룹사별 QSS 활동체계, 운영현황, 인재양성 제도 등을 공유하고 참석자들이 우수사례를 벤치마킹할 수 있도록 QSS 컨퍼런스를 마련했다. 특히, 올해는 기존 정보교류회를 컨퍼런스로 명칭을 변경하는 등 행사를 리뉴얼 해 지속가능성을 이끄는 혁신 가치를 더욱 강조했다.
포스코인재창조원은 이번 행사에 전문가 기조강연, 그룹사 QSS 지원전략 공유, 참가자 골든벨 등으로 이어지는 여러 프로그램을 마련했다. 기조강연에는 정광열 한국산업교육센터(KPEC) 대표가 나서 QSS 담당자들에게 '제조혁신 미래 방향'에 대해 제언했다.
▲포스코퓨처엠 QSS 담당자가 자사에서 추진 중인 QSS 전략에 대해 발표하고 있다.

이어 6개팀의 참석자들은 철강, 이차전지소재, 인프라 등 여러 사업에서 추진 중인 QSS 전략에 대해 발표했다. 이외에도 포스코인재창조원은 시간상 발표에 참여하지 않은 여러 사례를 갤러리로 전시하는 등 행사의 벤치마킹 효과를 높였다.
정세운 포스코GYR테크 프로는 “컨퍼런스에 참여하면서 포스코그룹이 추구하는 지속가능한 혁신에 대해 고민해 볼 수 있었다. 각 그룹사에 있는 혁신활동을 공유한 덕분에 우리 회사에 적용할 수 있는 착안점을 얻을 수 있어서 유익했다.”고 말했다.
한편, 포스코는 올해 10월 세계철강협회 스틸리어워즈에서 직원의 혁신 마인드 내재화에 기여한 QSS 교육성과를 인정받아 교육훈련 부문 최고상을 수상한 바 있다. 이와 함께 포스코인재창조원은 그룹사간 QSS 성과와 혁신 노하우를 공유하는 허브 역할에 지속 나서고 있다.강우택 커뮤니케이터",강우택 커뮤니케이터,2024.11.04 15:00:00
'진로고민 함께 해결해요' 대학생 커리어 코칭 마무리(1),"- 한국열린사이버대학생 56명에 250여 회 코칭 프로그램 지원
포스코인재창조원이 10월 30일 한국열린사이버대학생 커리어 코칭 프로그램을 마무리했다.
포스코인재창조원은 임직원의 전문 코칭 역량을 의미 있게 활용하고자 이번 프로그램을 마련했다. 사내 코치로는 관련 자격을 보유한 40명의 임직원이 나섰고, 상하반기 프로그램을 열어 각 20여 명의 대학생들을 모집했다.
▲포스코인재창조원 사내 코치(왼쪽)가 화상회의로 한국열린사이버대학생(오른쪽)을 만나 커리어 코칭을 하고 있다.

지난해부터 56명의 대학생들을 대상으로 250여 회 코칭을 지원했다. 코칭 범위는 2030세대 주요 관심사항인 학업, 커리어, 대인관계 등에 초점을 맞췄다. 사내 코치들은 화상회의(zoom)와 전화를 활용한 비대면 방식으로 담당 대학생들의 고민사항을 듣고 솔루션을 제공했다.
이번 하반기 코칭은 9월 12일부터 10월 30일까지 열었다. 11월 중에는 사내 코치들이 모여 올해 성과와 노하우를 공유할 예정이다.
코칭에 참가한 임영신 대학생은 ""이전에는 진로에 대해 고민이 많아 답답했다. 포스코인재창조원 덕분에 진로 목표를 세울 수 있었고 최근에는 임상심리사 자격증 취득에도 성공했다.""고 말했다.강우택 커뮤니케이터",강우택 커뮤니케이터,2024.10.30 15:00:00
"직원 대상 'AI 경연' 성황, 일하는 방식 혁신 기대(4)","- 최우수상에 '나성장 응원패키지' 아이디어 선정, AI 활용해 IDP 작성과 맞춤형 콘텐츠 지원
포스코인재창조원이 10월 8일 직원 AI 아이디어 경연대회 ‘DX 테크노바 챌린지(TechNova Challenge)'를 성황리에 마무리했다.
테크노바(TechNova)는 테크놀로지(Technology)와 이노베이션(Innovation)에서 임의로 딴 합성어로, 대회 취지인 '기술적 혁신'을 의미한다. 포스코인재창조원은 직원들이 디지털 기술을 활용해 일하는 방식을 혁신적으로 바꿀 수 있도록 이번 대회를 마련했다. 이에 따라 올해 6월부터 생성형 AI 등을 일상업무에 접목할 여러 아이디어의 공모를 열었다.
이번 대회에는 10개 팀의 참가신청을 받았고 아이디어를 실물로 구현할 기술 멘토링을 지원했다. 포스코인재창조원의 디지털 전문가들이 참가팀을 만나 AI 교육을 하고 기술적 조언에 나섰다.
▲최우수상을 수상한 김현수 대리(오른쪽 두 번째)가 영상회의로 열린 DX 테크노바 챌린지 최종발표에서 나성장 응원패키지에 대해 설명하고 있다.

최우수상은 ‘나성장 응원패키지’를 제안한 김현수 대리가 차지했다. 김현수 대리는 러닝플랫폼(LP)에 챗지피티(ChatGPT)와 로봇 프로세스 자동화(RPA)를 접목해 포스코그룹 임직원들의 개별 커리어플랜(IDP) 작성에 도움을 주고 맞춤형 교육 콘텐츠를 추천하는 아이디어를 제안했다.
우수상은 '해외법인 현지직원 대상 실시간 동시통역 프로그램'을 제안한 박성춘 과장과 '언어 데이터 기반의 조직문화 진단 방안'을 제안한 임병근 차장이 공동 수상했다. 4위 챌린지상(Challenge)은 '러닝플랫폼(LP) 콘텐츠의 TV 현황판 송출 자동화'를 제안한 윤회진 과장에게 돌아갔다.
최우수상을 수상한 김현수 대리는 ""커리어 플랜에 고민이 많은 직원들에게 동기부여와 도움을 주고자 아이디어를 제출했다. 이 아이디어는 스스로 성장 목표를 명확히 설정할 수 있도록 돕는 것이 핵심이다""고 말했다.
한편, 포스코인재창조원은 이번 대회를 확대해 포스코그룹의 모든 임직원들이 참가할 수 있는 AI 경연대회를 열 계획이다. 경연대회는 기획·개발·디자인 전문가들이 팀을 이뤄 디지털 솔루션을 제안하는 방식으로 기획하고 포스코그룹의 일하는 방식을 혁신적으로 변화시킬 예정이다.강우택 커뮤니케이터",강우택 커뮤니케이터,2024.10.08 17:18:05
